202043	202042	202052
202106	202003	202078
202002	202106	202047
202038	202013	202050
202040	202057	202016
202016	202012	202088
202023	202062	202089
202044	202048	202068
202051	202028	202053
202099	202019	202046
202016	202072	202006
202097	202041	202020
202066	202081	202074
202088	202035	202073
202012	202006	202040
202061	202048	202068
202080	202077	202087
202030	202033	202066
202013	202097	202041
202056	202051	202108
202108	202056	202085
202007	202062	202089
202085	202056	202022
202076	202012	202038
202067	202054	202105
202094	202065	202023
202031	202010	202101
202024	202085	202056
202066	202019	202033
202028	202101	202010
202096	202086	202022
202066	202030	202107
202057	202025	202012
202073	202091	202015
202108	202022	202053
202045	202042	202106
202101	202004	202014
202020	202097	202074
202082	202109	202057
202097	202013	202020
202037	202043	202106
202042	202028	202001
202008	202020	202048
202106	202037	202099
202093	202014	202101
202081	202101	202014
202068	202058	202017
202062	202089	202105
202013	202074	202020
202010	202021	202056
202081	202002	202072
202051	202108	202036
202026	202067	202105
202085	202084	202021
202040	202109	202036
202048	202064	202068
202065	202054	202094
202098	202083	202087
202017	202071	202048
202049	202089	202007
202091	202073	202082
202074	202058	202069
202094	202059	202027
202030	202014	202033
202026	202054	202105
202048	202017	202107
202074	202064	202041
202061	202017	202071
202061	202017	202107
202104	202012	202002
202091	202063	202035
202064	202013	202050
202035	202019	202002
202025	202050	202069
202095	202087	202021
202106	202002	202104
202006	202034	202102
202062	202018	202021
202066	202014	202047
202040	202063	202092
202060	202057	202007
202056	202022	202085
202056	202024	202108
202032	202022	202096
202095	202077	202018
202015	202073	202096
202062	202049	202007
202078	202081	202047
202063	202073	202035
202082	202040	202109
202105	202026	202046
202065	202027	202024
202087	202077	202018
202032	202022	202086
202041	202013	202020
202060	202077	202109
202067	202054	202026
202043	202029	202075
202038	202047	202028
202012	202008	202006
202072	202002	202078
202026	202093	202054
202002	202003	202078
202048	202068	202033
202036	202022	202085
202040	202053	202051
